Data Set Profile,,,,,,,,
Name,CDFLOW_10K.csv,,,,,,,
Size,985 KB,,,,,,,
Number of records,10000,,,,,,,
Frequency of Updates,Once,,,,,,,
Number of Fields,10,,,,,,,
Extraction Methods,CSV,,,,,,,
,,,,,,,,
,,,,,,,,
Column Name,Data Type,Description,Null Rate,Number of Unique Values,Most Popular Columns,Count,Mean,Standard Deviation
Comid,integer,Stream Catchment code where the pCO2 estimates exists. The code is derived from the EPA StreamCat dataset within the NHDPlus dataset.,0,,,,5.38E+07,1.85E+08
Date,character,"format, MM-DD-YYYY; r format, ""%m/%d/%y""",0,2850,22-07-1994,22,,
Time,character,"format, HH:MM:SS; r format, ""%h:%m:%s""",1727,564,09:00:00,380,,
HUC_12,integer, 12 digit hydrological unit code,0,,,,1.02E+11,5.69E+10
State,character,"US state where data point was located, given in standard state abbreviation code",0,30,WA,1987,,
Temp.C,numeric,temperature in units celcius,0,,,,1.44E+01,6.92E+00
pH.std_units,numeric,pH given in standard pH units,0,,,,7.80E+00,6.54E-01
Alkalinity_ueq/kgw,numeric,total alkalinity in units - micro equivilence per kilogram water,0,,,,2.38E+03,2.10E+03
pCO2.uatm,numeric,partial pressure of CO2 given in units - micro atmospheres,0,,,,2.50E+03,3.33E+03
CO2.mg/l,numeric,CO2 concentrations given in units - milligrams per liter,0,,,,5.28E+00,7.26E+00
,,,,,,,,
,,,,,,,,
,,,,,,,,
Visualization,,,,,,,,
Numerical Variables,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Categorical Variables,,,,,,,,
