Data Set Profile,,,,,,
Name,CDFLOW_10K.csv,,,,,
Size,985 KB,,,,,
Number of records,10000,,,,,
Frequency of Updates,Once,,,,,
Number of Fields,10,,,,,
Extraction Methods,CSV,,,,,
,,,,,,
,,,,,,
Column Name,Data Type,Description,Null Rate,Number of Unique Values,Most Popular Columns,Count
Comid,integer,Stream Catchment code where the pCO2 estimates exists. The code is derived from the EPA StreamCat dataset within the NHDPlus dataset.,0,,,
Date,character,"format, MM-DD-YYYY; r format, ""%m/%d/%y""",0,2850,,
Time,character,"format, HH:MM:SS; r format, ""%h:%m:%s""",1727,564,,
HUC_12,integer, 12 digit hydrological unit code,0,,,
State,character,"US state where data point was located, given in standard state abbreviation code",0,,,
Temp.C,numeric,temperature in units celcius,0,,,
pH.std_units,numeric,pH given in standard pH units,0,,,
Alkalinity_ueq/kgw,numeric,total alkalinity in units - micro equivilence per kilogram water,0,,,
pCO2.uatm,numeric,partial pressure of CO2 given in units - micro atmospheres,0,,,
CO2.mg/l,numeric,CO2 concentrations given in units - milligrams per liter,0,,,
